scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.02,1,-1
scenario-01,1.0,0.03,1,-1
scenario-01,1.0,0.04,1,-1
scenario-01,1.0,0.05,1,-1
scenario-01,1.0,0.06,1,-1
scenario-01,1.0,0.07,1,-1
scenario-01,1.0,0.08,1,-1
scenario-01,1.0,0.09,1,-1
scenario-01,1.0,0.1,1,-1
scenario-01,1.0,0.11,1,-1
scenario-01,1.0,0.12,1,-1
scenario-01,1.0,0.13,1,-1
scenario-01,1.0,0.14,1,-1
scenario-01,1.0,0.15,1,-1
scenario-01,1.0,0.16,1,-1
scenario-01,1.0,0.17,1,-1
scenario-01,1.0,0.18,1,-1
scenario-01,1.0,0.19,1,-1
scenario-01,1.0,0.2,1,-1
scenario-01,1.1,0.01,1,-1
scenario-01,1.1,0.02,1,-1
scenario-01,1.1,0.03,1,-1
scenario-01,1.1,0.04,1,-1
scenario-01,1.1,0.05,1,-1
scenario-01,1.1,0.06,1,-1
scenario-01,1.1,0.07,1,-1
scenario-01,1.1,0.08,1,-1
scenario-01,1.1,0.09,1,-1
scenario-01,1.1,0.1,1,-1
scenario-01,1.1,0.11,1,-1
scenario-01,1.1,0.12,1,-1
scenario-01,1.1,0.13,1,-1
scenario-01,1.1,0.14,1,-1
scenario-01,1.1,0.15,1,-1
scenario-01,1.1,0.16,1,-1
scenario-01,1.1,0.17,1,-1
scenario-01,1.1,0.18,1,-1
scenario-01,1.1,0.19,1,-1
scenario-01,1.1,0.2,1,-1
scenario-01,1.2,0.01,1,-1
scenario-01,1.2,0.02,1,-1
scenario-01,1.2,0.03,1,-1
scenario-01,1.2,0.04,1,-1
scenario-01,1.2,0.05,1,-1
scenario-01,1.2,0.06,1,-1
scenario-01,1.2,0.07,1,-1
scenario-01,1.2,0.08,1,-1
scenario-01,1.2,0.09,1,-1
scenario-01,1.2,0.1,1,-1
scenario-01,1.2,0.11,1,-1
scenario-01,1.2,0.12,1,-1
scenario-01,1.2,0.13,1,-1
scenario-01,1.2,0.14,1,-1
scenario-01,1.2,0.15,1,-1
scenario-01,1.2,0.16,1,-1
scenario-01,1.2,0.17,1,-1
scenario-01,1.2,0.18,1,-1
scenario-01,1.2,0.19,1,-1
scenario-01,1.2,0.2,1,-1
scenario-01,1.3,0.01,1,-1
scenario-01,1.3,0.02,1,-1
scenario-01,1.3,0.03,1,-1
scenario-01,1.3,0.04,1,-1
scenario-01,1.3,0.05,1,-1
scenario-01,1.3,0.06,1,-1
scenario-01,1.3,0.07,1,-1
scenario-01,1.3,0.08,1,-1
scenario-01,1.3,0.09,1,-1
scenario-01,1.3,0.1,1,-1
scenario-01,1.3,0.11,1,-1
scenario-01,1.3,0.12,1,-1
scenario-01,1.3,0.13,1,-1
scenario-01,1.3,0.14,1,-1
scenario-01,1.3,0.15,1,-1
scenario-01,1.3,0.16,1,-1
scenario-01,1.3,0.17,1,-1
scenario-01,1.3,0.18,1,-1
scenario-01,1.3,0.19,1,-1
scenario-01,1.3,0.2,1,-1
scenario-01,1.4,0.01,1,-1
scenario-01,1.4,0.02,1,-1
scenario-01,1.4,0.03,1,-1
scenario-01,1.4,0.04,1,-1
scenario-01,1.4,0.05,1,-1
scenario-01,1.4,0.06,1,-1
scenario-01,1.4,0.07,1,-1
scenario-01,1.4,0.08,1,-1
scenario-01,1.4,0.09,1,-1
scenario-01,1.4,0.1,1,-1
scenario-01,1.4,0.11,1,-1
scenario-01,1.4,0.12,1,-1
scenario-01,1.4,0.13,1,-1
scenario-01,1.4,0.14,1,-1
scenario-01,1.4,0.15,1,-1
scenario-01,1.4,0.16,1,-1
scenario-01,1.4,0.17,1,-1
scenario-01,1.4,0.18,1,-1
scenario-01,1.4,0.19,1,-1
scenario-01,1.4,0.2,1,-1
scenario-01,1.5,0.01,1,-1
scenario-01,1.5,0.02,1,-1
scenario-01,1.5,0.03,1,-1
scenario-01,1.5,0.04,1,-1
scenario-01,1.5,0.05,1,-1
scenario-01,1.5,0.06,1,-1
scenario-01,1.5,0.07,1,-1
scenario-01,1.5,0.08,1,-1
scenario-01,1.5,0.09,1,-1
scenario-01,1.5,0.1,1,-1
scenario-01,1.5,0.11,1,-1
scenario-01,1.5,0.12,1,-1
scenario-01,1.5,0.13,1,-1
scenario-01,1.5,0.14,1,-1
scenario-01,1.5,0.15,1,-1
scenario-01,1.5,0.16,1,-1
scenario-01,1.5,0.17,1,-1
scenario-01,1.5,0.18,1,-1
scenario-01,1.5,0.19,1,-1
scenario-01,1.5,0.2,1,-1
scenario-01,1.6,0.01,1,-1
scenario-01,1.6,0.02,1,-1
scenario-01,1.6,0.03,1,-1
scenario-01,1.6,0.04,1,-1
scenario-01,1.6,0.05,1,-1
scenario-01,1.6,0.06,1,-1
scenario-01,1.6,0.07,1,-1
scenario-01,1.6,0.08,1,-1
scenario-01,1.6,0.09,1,-1
scenario-01,1.6,0.1,1,-1
scenario-01,1.6,0.11,1,-1
scenario-01,1.6,0.12,1,-1
scenario-01,1.6,0.13,1,-1
scenario-01,1.6,0.14,1,-1
scenario-01,1.6,0.15,1,-1
scenario-01,1.6,0.16,1,-1
scenario-01,1.6,0.17,1,-1
scenario-01,1.6,0.18,1,-1
scenario-01,1.6,0.19,1,-1
scenario-01,1.6,0.2,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.02,2,-1
scenario-01,1.0,0.03,2,-1
scenario-01,1.0,0.04,2,-1
scenario-01,1.0,0.05,2,-1
scenario-01,1.0,0.06,2,-1
scenario-01,1.0,0.07,2,-1
scenario-01,1.0,0.08,2,-1
scenario-01,1.0,0.09,2,-1
scenario-01,1.0,0.1,2,-1
scenario-01,1.0,0.11,2,-1
scenario-01,1.0,0.12,2,-1
scenario-01,1.0,0.13,2,-1
scenario-01,1.0,0.14,2,-1
scenario-01,1.0,0.15,2,-1
scenario-01,1.0,0.16,2,-1
scenario-01,1.0,0.17,2,-1
scenario-01,1.0,0.18,2,-1
scenario-01,1.0,0.19,2,-1
scenario-01,1.0,0.2,2,-1
scenario-01,1.1,0.01,2,-1
scenario-01,1.1,0.02,2,-1
scenario-01,1.1,0.03,2,-1
scenario-01,1.1,0.04,2,-1
scenario-01,1.1,0.05,2,-1
scenario-01,1.1,0.06,2,-1
scenario-01,1.1,0.07,2,-1
scenario-01,1.1,0.08,2,-1
scenario-01,1.1,0.09,2,-1
scenario-01,1.1,0.1,2,-1
scenario-01,1.1,0.11,2,-1
scenario-01,1.1,0.12,2,-1
scenario-01,1.1,0.13,2,-1
scenario-01,1.1,0.14,2,-1
scenario-01,1.1,0.15,2,-1
scenario-01,1.1,0.16,2,-1
scenario-01,1.1,0.17,2,-1
scenario-01,1.1,0.18,2,-1
scenario-01,1.1,0.19,2,-1
scenario-01,1.1,0.2,2,-1
scenario-01,1.2,0.01,2,-1
scenario-01,1.2,0.02,2,-1
scenario-01,1.2,0.03,2,-1
scenario-01,1.2,0.04,2,-1
scenario-01,1.2,0.05,2,-1
scenario-01,1.2,0.06,2,-1
scenario-01,1.2,0.07,2,-1
scenario-01,1.2,0.08,2,-1
scenario-01,1.2,0.09,2,-1
scenario-01,1.2,0.1,2,-1
scenario-01,1.2,0.11,2,-1
scenario-01,1.2,0.12,2,-1
scenario-01,1.2,0.13,2,-1
scenario-01,1.2,0.14,2,-1
scenario-01,1.2,0.15,2,-1
scenario-01,1.2,0.16,2,-1
scenario-01,1.2,0.17,2,-1
scenario-01,1.2,0.18,2,-1
scenario-01,1.2,0.19,2,-1
scenario-01,1.2,0.2,2,-1
scenario-01,1.3,0.01,2,-1
scenario-01,1.3,0.02,2,-1
scenario-01,1.3,0.03,2,-1
scenario-01,1.3,0.04,2,-1
scenario-01,1.3,0.05,2,-1
scenario-01,1.3,0.06,2,-1
scenario-01,1.3,0.07,2,-1
scenario-01,1.3,0.08,2,-1
scenario-01,1.3,0.09,2,-1
scenario-01,1.3,0.1,2,-1
scenario-01,1.4,0.01,2,-1
scenario-01,1.4,0.02,2,-1
scenario-01,1.4,0.03,2,-1
scenario-01,1.4,0.04,2,-1
scenario-01,1.4,0.05,2,-1
scenario-01,1.4,0.06,2,-1
scenario-01,1.5,0.01,2,-1
scenario-01,1.5,0.02,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.02,3,-1
scenario-01,1.0,0.03,3,-1
scenario-01,1.0,0.04,3,-1
scenario-01,1.0,0.05,3,-1
scenario-01,1.0,0.06,3,-1
scenario-01,1.0,0.07,3,-1
scenario-01,1.0,0.08,3,-1
